iter	Passed	Remaining
527	11024	5700
528	11040	5676
529	11055	5652
530	11072	5630
531	11089	5607
532	11106	5584
533	11123	5561
534	11139	5538
535	11155	5515
536	11172	5492
537	11188	5469
538	11204	5446
539	11219	5422
540	11237	5400
541	11253	5377
542	11270	5354
543	11287	5332
544	11305	5310
545	11338	5295
546	11359	5274
547	11375	5251
548	11395	5230
549	11412	5208
550	11430	5186
551	11448	5164
552	11464	5141
553	11481	5118
554	11497	5096
555	11517	5075
556	11547	5058
557	11568	5037
558	11584	5015
559	11602	4993
560	11619	4970
561	11637	4949
562	11653	4926
563	11669	4903
564	11687	4881
565	11705	4860
566	11723	4838
567	11742	4816
568	11759	4794
569	11777	4772
570	11793	4750
571	11809	4727
572	11826	4705
573	11842	4683
574	11860	4661
575	11877	4639
576	11908	4622
577	11923	4600
578	11940	4578
579	11955	4555
580	11973	4533
581	11990	4511
582	12006	4489
583	12023	4467
584	12039	4445
585	12056	4423
586	12072	4401
587	12088	4379
588	12104	4356
589	12121	4334
590	12137	4312
591	12158	4292
592	12174	4270
593	12190	4248
594	12206	4226
595	12222	4204
596	12238	4181
597	12254	4160
598	12270	4137
599	12287	4116
600	12305	4094
601	12320	4072
602	12335	4050
603	12351	4028
604	12369	4007
605	12385	3985
606	12400	3963
607	12417	3941
608	12432	3919
609	12448	3897
610	12464	3875
611	12479	3853
612	12496	3832
613	12512	3810
614	12527	3788
615	12544	3767
616	12560	3745
617	12576	3724
618	12594	3703
619	12611	3681
620	12626	3659
621	12646	3639
622	12663	3618
623	12679	3596
624	12696	3575
625	12712	3553
626	12727	3532
627	12744	3510
628	12761	3489
629	12776	3467
630	12793	3446
631	12810	3425
632	12827	3404
633	12851	3385
634	12871	3364
635	12889	3343
636	12907	3323
637	12923	3301
638	12939	3280
639	12956	3259
640	12973	3238
641	12990	3217
642	13008	3196
643	13026	3175
644	13044	3154
645	13060	3133
646	13078	3112
647	13094	3091
648	13112	3071
649	13130	3050
650	13145	3029
651	13163	3008
652	13181	2987
653	13197	2966
654	13216	2945
655	13233	2925
656	13250	2904
657	13268	2883
658	13285	2862
659	13303	2842
660	13318	2820
661	13336	2800
662	13351	2779
663	13368	2758
664	13385	2737
665	13403	2716
666	13435	2699
667	13459	2679
668	13489	2661
669	13506	2640
670	13526	2620
671	13544	2600
672	13561	2579
673	13578	2558
674	13595	2537
675	13610	2516
676	13626	2495
677	13643	2475
678	13659	2454
679	13676	2433
680	13692	2412
681	13709	2392
682	13725	2371
683	13741	2350
684	13757	2329
685	13773	2308
686	13790	2288
687	13810	2268
688	13828	2247
689	13844	2227
690	13862	2206
691	13878	2186
692	13896	2165
693	13911	2144
694	13928	2124
695	13944	2103
696	13960	2083
697	13978	2062
698	13995	2042
699	14011	2021
700	14028	2001
701	14045	1980
702	14063	1960
703	14077	1939
704	14093	1919
705	14109	1898
706	14124	1877
707	14141	1857
708	14157	1837
709	14173	1816
710	14190	1796
711	14228	1778
712	14255	1759
713	14274	1739
714	14292	1719
715	14311	1698
716	14332	1679
717	14350	1658
718	14370	1638
719	14393	1619
720	14410	1598
721	14428	1578
722	14451	1559
723	14470	1538
724	14491	1519
725	14508	1498
726	14526	1478
727	14561	1460
728	14578	1439
729	14596	1419
730	14615	1399
731	14659	1381
732	14700	1363
733	14720	1343
734	14740	1323
735	14772	1304
736	14791	1284
737	14809	1264
738	14828	1244
739	14846	1223
740	14866	1203
741	14885	1183
742	14903	1163
743	14921	1143
744	14943	1123
745	14978	1104
746	14997	1084
747	15016	1063
748	15042	1044
749	15061	1024
750	15080	1004
751	15098	983
752	15115	963
753	15132	943
754	15147	922
755	15162	902
756	15179	882
757	15197	862
758	15216	842
759	15233	821
760	15249	801
761	15266	781
762	15284	761
763	15299	740
764	15340	721
765	15365	702
766	15397	682
767	15421	662
768	15441	642
769	15465	622
770	15486	602
771	15504	582
772	15521	562
773	15539	542
774	15555	521
775	15578	501
776	15596	481
777	15613	461
778	15629	441
779	15649	421
780	15669	401
781	15689	381
782	15710	361
783	15739	341
784	15758	321
785	15777	301
786	15798	281
787	15815	260
788	15833	240
789	15850	220
790	15866	200
791	15882	180
792	15899	160
793	15917	140
794	15933	120
795	15949	100
796	15966	80
797	15982	60
798	15998	40
799	16013	20
800	16029	0
